Eye Distance,Nose-Mouth Distance,Brow Distance,Nose-Chin Distance,Mouth Corners Distance,Label
201.97428329149008,120.26219106088763,231.52615403016569,288.55403670502585,171.10523077919038,fajri
290.5727103497505,167.47323814217944,333.1110325402028,334.3630391884075,233.01931250435015,fajri
268.26852219371546,186.53414608141048,324.7104556370183,313.1019042885812,225.43513479491168,fajri
301.6931848381361,165.8893563474846,346.62544626729294,322.88011382126734,240.40798655618744,fajri
367.6884248623797,173.31332015873576,428.8392239522873,284.6491017219467,270.0018518455012,fajri
297.83701732472554,212.18252246475475,342.26364107220036,355.4936404425003,241.19701490690136,fajri
392.94026970464034,191.12651948543743,454.47763421317006,332.0170492424363,280.40149785619906,fajri
576.0696813561515,356.17862616188506,651.8684836682933,845.6447098567115,536.8500721803063,nabil
589.1908057289724,354.32256917206286,652.031410286345,672.9953405448374,524.0152669531681,nabil
390.56575772987463,228.68745350125556,441.24356085953247,465.4623746579548,337.0726924566866,nabil
726.4141189584782,374.3247799639528,825.4427418058747,702.1281582569409,623.0650046343479,nabil
532.5223521651984,341.9812655055685,605.2769613986642,643.7805104839787,499.21738751770255,nabil
401.29547163599483,213.22875221602965,469.14343222515646,482.2453783482758,425.677107676699,nabil
577.3649433224864,323.0385445029245,699.3369717096331,744.1711355678516,624.0520811598981,nabil
